,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst I,$41K - $55K (Glassdoor est.),"Job Summary:
If you live in or around the San Antonio area and you meet most of the criteria required for this role, submit an application today!
The primary objective of the Data Analyst l role is to deliver actionable and insightful information through all available technology-driven channels to various levels throughout the organization. The ideal candidate, is a self-driven individual that can seek out answers for data-requirements in a dynamic organization and can move between being a team player with organizational projects and initiatives to a strong individual contributor. Statistical analysis, process improvement, or software engineering experience or exposure will be relevant for this role; however, the candidate must demonstrate effective report development skills with mainstream or industry-relevant report development tools.
Key Responsibilities:",4.3 ★,Firstmark Credit Union4.3 ★,"San Antonio, TX",-1,201 to 500 Employees,1932,Company - Private,Banking & Lending,Financial Services,$1 to $5 billion (USD),-1
1,Reporting Data Analyst,$64K - $92K (Glassdoor est.),"Medlogix, LLC delivers innovative medical claims solutions through a seamless collaboration of our Medlogix® technology, our highly skilled staff, access to our premier health care provider networks, and our commitment to keeping our clients’ needs as our top priority. Medlogix has a powerful mix of medical expertise, proven processes and innovative technology that delivers a more efficient, disciplined insurance claims process. The result is lower expenses and increased productivity for the auto insurance and workers’ compensation insurance carriers; third party administrators (TPAs); and government entities we serve.
As a Reporting Data Analyst at Medlogix, you will play a pivotal role in curating, managing, and leveraging data to drive informed decision-making. You will work closely with various stakeholders, including the IT team, business users, and executives, to understand their data needs and requirements, and develop effective solutions using Qlik to support their strategic goals.",2.6 ★,"MEDLOGIX, LLC2.6 ★","Lansdale, PA",-1,Unknown,-1,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
2,Junior Data Analyst,$45K - $69K (Glassdoor est.),"Hintz and Co is a boutique full service media agency with depth and passion. Hintz Group operates in Europe and North America and services its clients through a portfolio of specialist teams that span across media, strategy, digital, data consulting, programmatic buying and performance marketing. We balance digital with traditional, data with instincts, delivering meaningful media executions.
We are committed to fostering a culture that empowers our people, encourages sustainability and promotes teamwork and work-life balance
About The Role
With our head office in France, Hintz has more recently opened an office in North America and is currently building a team of energetic, nimble and passionate individuals. You will be hands-on across a variety of projects, with a huge opportunity for career progression and play a critical role within the team on a daily basis.",3.8 ★,Hintz and Co3.8 ★,"Los Angeles, CA",-1,1 to 50 Employees,1979,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $25 million (USD),-1
3,Data Analyst(SQL),$64K - $106K (Glassdoor est.),"Job Title: Data Analyst (SQL)
Job Summary: We are seeking a skilled and analytical Data Analyst with expertise in SQL to join our team. The successful candidate will be responsible for collecting, organizing, and analyzing large sets of data to extract valuable insights and support data-driven decision-making processes. As a Data Analyst, you will collaborate with various stakeholders to understand business requirements, develop and optimize SQL queries, and generate meaningful reports and visualizations. Your contributions will directly impact our organization's strategic initiatives and drive operational efficiency.
Responsibilities:
Gather and interpret data requirements from business stakeholders to identify key metrics and objectives.",4.1 ★,Leading Torch LLC4.1 ★,"Plano, TX",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
4,Data Analyst (Jr.),$80K - $100K (Employer est.),"Department of Veterans Affairs experience? Do you want to support the and VA?
BAC is looking for a contingent hire for a full-time data analyst. Must be adept at quick-turn tasking, senior leadership task and project support, strategic planning, leadership seminar preparations, with the ability to be forward leaning, work on a team with others as well as be independently creative to propose new ideas, get senior leadership approval and bring the strategic plan, organizational plan, and team goals into your new idea. As part of a team, you will be responsible for assisting with project/program deliverables that support communication and Customer Experience initiatives and efforts.
· Our data analyst will support a variety of Data Analytics services to the client team in support of the informatics community and to support decision making and interventions by program managers and executives. These Data Analytics services cover the entire lifecycle of data management and analysis including collect data, extract data from applications and databases, manage data, analyze data using statistical methods, transform/map data, and prepare data for uploading into analytic/reporting environments and for sharing with project partners.",4.0 ★,Ben Allegretti Consulting (BAC)4.0 ★,"Washington, DC",-1,Unknown,2007,Unknown,National Agencies,Government & Public Administration,Unknown / Non-Applicable,-1
5,QlikSense Data Analyst,$69.00 Per Hour (Employer est.),"Summary:
The main function of a Data Analyst is to coordinate changes to computer databases, test, and implement the database applying knowledge of database management systems. The Corporate Data Solutions team supports multiple business units providing solutions for their reporting needs and data visualization (dashboards), which leads to their operational efficiency and capability expansion. The person must be able to work independently as part of a small team in a large corporate environment, have great analytical skills, and ability to ask insightful questions when working with ambiguous requirements, coordinate meetings, and interact with various stakeholders. Good communication skills are required.
Job Responsibilities:
Work with senior management, technical and client teams to determine data requirements, business data implementation approaches, best practices for advanced data manipulation, storage, and analysis strategies.",-1,Vision,"Baltimore, MD",-1,-1,-1,-1,-1,-1,-1,-1
6,Data Analyst - Data Insights & Analytics,$64K - $85K (Employer est.),"HomeServe is a Great Place to Work, and while we’re biased, we’re not just saying that. We’re proud to have been certified as a Great place to Work the last four years. What does HomeServe do and what makes it so great? Well, we’re glad you asked!
We put people at the heart of everything we do. That’s priority number one for all of us. For the 4.7 million Customers we serve, that means being there when they have an emergency home repair need, such as getting their a/c working, clearing their clogged pipes, or fixing broken electrical systems. With over 1,000 municipal and utility Partners, that means providing their customers with access to affordable home repair plans, making it easier, faster and less expensive to have their home repair needs met. And for the more than 2,500 People working alongside us, it means fostering a rewarding, inclusive and challenging career experience that we think is second to none. At HomeServe, everyone is welcome. We know that having diverse teams has a positive impact on our work and ultimately helps us better serve our customers.",3.9 ★,HomeServe USA3.9 ★,"Norwalk, CT",-1,1001 to 5000 Employees,2003,Company - Public,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),-1
7,Junior Business Analyst,$65K - $90K (Employer est.),"Who We Are: ThinkTek is a fast-growing Certified SBA 8(a) and Service-Disabled Veteran-Owned Small Business (SDVOSB) company. We specialize in providing management and technology consulting services to support the business and technology modernization efforts of the Federal Government. ThinkTek was formed with the specific purpose of providing its clients a tailored solution around Program & Project Management, Strategic Planning, and IT Operations.
Position Description: ThinkTek is seeking an energetic, detail-oriented, and committed individual to join our team as a business analyst to support a transformation contract for a Federal Government agency.
The Business Analyst will have functional financial knowledge and act as the technical connection between project managers and developers by clearly communicating business functional issues to the client and internal staff. The candidate will conduct business process and requirements analysis and advise clients on key architectural decisions concerning the platform and the supporting technologies.",5.0 ★,ThinkTek LLC5.0 ★,"Fairfax, VA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
8,Data Analytics - Analyst,$62K - $92K (Glassdoor est.),"Community Health Systems is one of the nation’s leading healthcare providers. Developing and operating healthcare delivery systems in 44 distinct markets across 15 states, CHS is committed to helping people get well and live healthier. CHS operates 78 acute-care hospitals and more than 1,000 other sites of care, including physician practices, urgent care centers, freestanding emergency departments, occupational medicine clinics, imaging centers, cancer centers and ambulatory surgery centers.
Summary:
The Analyst, Data Analytics role is to leverage data to provide support in operational reporting and metrics for Corporate and Hospital leadership. The role is established to foster value creation and implementation of the organization’s data strategy through the use of the organization’s data assets. The role will partner with operational leaders to translate company priorities into metrics/ reports and their use into successful implementation of the company priorities.",3.3 ★,CHS Corporate3.3 ★,"Franklin, TN",-1,10000+ Employees,1985,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1
9,Data Analyst(Hybrid),$58.00 - $60.00 Per Hour (Employer est.),"This is a hybrid role, onsite Tues-Thurs in Seattle or Austin. Candidates who do are not local must be willing to move prior to contract start date. Please call this out on candidate submittal as well otherwise, they will be rejected.
Our Global Procurement organization is looking for a passionate, motivated Business Data Analyst. The successful candidate will turn data into information, and help turn information into insight that will drive business decisions. Their responsibilities will include conducting full lifecycle analysis, including requirements, activities and design. The successful candidate will develop analysis and reporting capabilities; they will also monitor performance plans to identify improvement opportunities.
Seek out, gather and interpret data, analyze results and provide both ongoing and custom/ad hoc reports",3.5 ★,ASA3.5 ★,"Austin, TX",-1,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),-1
10,Data Analyst,$46K - $69K (Glassdoor est.),"Essential Functions:
Analyze data to identify trends and patterns and keep current on new technologies and industry best practices.
Develop processes and databases to store and manage data.
Create reports to communicate results and insights.
Develop Excel programs to automate data analysis and identify opportunities to improve efficiency and effectiveness.
Monitor data to ensure accuracy and completeness.
Develop strategies to optimize data collection and analysis.
Collaborate with other departments to share data and insights.",4.1 ★,Pilkington North America Inc.4.1 ★,"Urbancrest, OH",-1,10000+ Employees,1894,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
11,Data Analyst,$68K - $101K (Glassdoor est.),"Simulmedia is transforming the way brands, marketers and agencies reach audiences. Our leading advertising platform, TV+, allows clients to unlock new viewers across linear TV, CTV and video games. From advanced data analytics to predictive modeling to real-time analytics and more, our cutting-edge tools make it easy for advertisers to deliver impactful campaigns that drive measurable outcomes.
Our Data Analyst will be instrumental in delivering data-driven insights and recommendations to clients, while cultivating a keen interest in generative AI and conversational interfaces. You will master our data platform and contribute to expanding our data warehouse, enhancing the efficiency of delivering new reports and insights. Collaborating with Analytics Engineers, you will ensure the appropriate ETLs are in place and engage with Account Management and Advertising Operations teams to maximize our data's potential. As a vital member of the Analytics team, you will contribute to the innovation of Simulmedia's industry-changing platform and work closely with our Chief Data Scientist to grow the Insights function. Join a passionate team of data scientists, engineers, product managers, and designers committed to building the most advanced advertising platform in the market.",4.1 ★,Simulmedia4.1 ★,"New York, NY",-1,51 to 200 Employees,2009,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1
12,Data Analyst,$57K - $83K (Glassdoor est.),"Wiliot was founded by the team that invented one of the technologies at the heart of 5G. Their next vision was to develop an IoT sticker, a computing element that can power itself by harvesting radio frequency energy, bringing connectivity and intelligence to everyday products and packaging, things previously disconnect from the IoT. This revolutionary mixture of cloud and semiconductor technology is being used by some of the world’s largest consumer, retail, food and pharmaceutical companies to change the way we make, distribute, sell, use and recycle products.
Our investors include Softbank, Amazon, Alibaba, Verizon, NTT DoCoMo, Qualcomm and PepsiCo.
We are growing fast and need people that want to be part of the journey, commercializing Sensing as a Service and enabling “Intelligence for Everyday Thing”.
This role offers a unique opportunity to engage in tactical data exploration through statistical models and to deliver business and performance insights. You will sift through massive amounts of data to discover “Ah ha!” moments for key retail customers that connect the dots between our technology and their key problems. The ideal candidate will have a strong background in statistical analysis, data visualization, as well as experience working with large, complex data sets. You will work with internal teams, and key customer teams to turn these insights into integrated solutions. Creativity, curiosity, and resilience are key for this role as you often won’t know what we’re looking for until we’ve found it.

Requirements:

Responsibilities:",4.5 ★,Wiliot4.5 ★,"San Diego, CA",-1,1 to 50 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
13,Data Reporting Analyst,$50.00 - $55.00 Per Hour (Employer est.),"The primary purpose of this position is to provide coding and report design expertise in support of team objectives. This individual will be working with other analysts and to deliver required reports in a time manner and satisfaction of the customer, within the parameters of the AASHTOWare Project application and Grape City tool.
This self-driven person will be responsible for delivering coding and report design expertise in support of team objectives.
Work will include enhancements to existing code, support changes, and new development, as assigned.
A person in this position will work with development team members to modify and design new reports based on database tables, provide thorough documentation of report requirements as it relates to business processes, track report change requests and deliver products in an agile environment.
This individual will set goals by identifying requirements, use cases and tests, estimate hours required for business analysis and task completion, and ensure clear communication regarding components to be delivered to the business. Communication with the IT team will include creation of backlog items and daily meetings.",3.6 ★,Devcare Solutions3.6 ★,Remote,-1,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
14,Data Analyst,$51K - $75K (Glassdoor est.),"Data Analyst:
At Hamilton Beach Brands, Inc., a leading designer, marketer and distributor of small household and commercial appliances, our culture is one of hard work, ethical behavior, and teamwork. We roll up our sleeves and work hard to create products that have been pleasing customers for over 100 years. We offer a comprehensive compensation and benefits package which includes health, dental, and vision insurances, HSA contributions, Profit Sharing, and a 401(k) plan with vested contributions beginning Day One. We provide paid vacation and holidays, summer hours and a paid charitable day off. To offset the cost of staying fit we offer a quarterly subsidy, and you can purchase our products at a discounted cost. We have a casual dress code, flexible hours, and development opportunities. These are just a few of the advantages of working for this dynamic company.
We are seeking qualified candidates for a Data Analyst opportunity at our Corporate in {Richmond, VA. Responsibilities include collaborating with the Analytics team to extract data figures, create reports based on the findings and assist internal customers in maintaining reports and providing validation of data. This position is a hybrid, requiring three days on site.",3.3 ★,"Hamilton Beach Brands, Inc.3.3 ★","Glen Allen, VA",-1,201 to 500 Employees,1904,Company - Public,Consumer Product Manufacturing,Manufacturing,$100 to $500 million (USD),-1
15,Data Analyst,$56K - $84K (Glassdoor est.),"Do you want to work for a Championship organization? We have the job for you! We are seeking a highly skilled data analyst to join the Miami Heat and 601 Analytics. As a Data Analyst, you will be responsible for building reports and visualizations, interpreting complex relational data sets, and providing insights that will help inform key business decisions related to ticket sales, renewals, customer activities, and forecasting. The ideal candidate will have experience with data visualization and SQL and will be able to use these tools to extract and transform data into meaningful insights.
Essential Duties & Responsibilities:
Work closely with various organizational entities/key partners to understand business needs
Use SQL to transform and merge large data sets to build efficient reports",4.5 ★,Miami HEAT4.5 ★,"Miami, FL",-1,1001 to 5000 Employees,1987,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1
